id,user_id,hours,date,project_num,price
164,1,5,2/16/2019,2019-Lean-2,8.8
165,1,5,2/17/2019,2019-Cost Center-3,8.8
166,12,1,2/17/2019,2019-ISO-3,3.3
167,12,6.5,2/17/2019,2019-ISO-7,3.3
168,12,1.5,2/17/2019,2019-Cost Center-3,3.3
169,19,4,2/17/2019,2019-ISO-3,2.5
170,19,5,2/17/2019,2019-ISO-6,2.5
171,13,3,2/18/2019,2019-ISO-9,3
172,15,4,2/18/2019,2019-ISO-4,3
173,15,3,2/18/2019,2019-ISO-5,3
174,15,2,2/18/2019,2019-ISO-10,3
175,20,4,2/17/2019,2019-ISO-8,2.5
176,20,5,2/17/2019,2019-ISO-10,2.5
177,20,7,2/18/2019,2019-ISO-8,2.5
178,20,2,2/18/2019,2019-ISO-10,2.5
179,19,9,2/18/2019,2019-ISO-3,2.5
180,1,4,2/18/2019,2019-Lean-2,8.8
181,1,5,2/18/2019,2019-Cost Center-3,8.8
182,10,9,2/18/2019,2019-ISO-6,2.8
183,10,4,2/17/2019,2019-Lean-1,2.8
184,10,5,2/17/2019,2019-Lean-2,2.8
185,14,9,2/18/2019,2019-ISO-6,2.8
186,14,9,2/17/2019,2019-ISO-4,2.8
187,12,1,2/18/2019,2019-ISO-3,3.3
188,12,7,2/18/2019,2019-ISO-7,3.3
189,12,1,2/18/2019,2019-Cost Center-3,3.3
191,13,4,2/19/2019,2019-ISO-11,3
192,13,4,2/19/2019,2019-ISO-13,3
193,19,4,2/19/2019,2019-ISO-3,2.5
194,19,4,2/19/2019,2019-ISO-6,2.5
195,19,0.5,2/19/2019,2019-Cost Center-3,2.5
196,19,0.5,2/19/2019,2019-Vacation-1,2.5
197,15,4,2/19/2019,2019-ISO-4,3
198,15,4,2/19/2019,2019-ISO-10,3
199,15,1,2/19/2019,2019-Cost Center-3,3
204,2,2,2/20/2019,2019-ISO-14,8.8
205,2,9,2/19/2019,2019-Cost Center-3,8.8
203,2,7,2/20/2019,2019-Cost Center-3,8.8
206,2,3,2/18/2019,2019-ISO-2,8.8
207,2,6,2/18/2019,2019-Cost Center-3,8.8
208,13,7,2/20/2019,2019-ISO-5,3
209,13,2,2/20/2019,2019-ISO-14,3
210,19,9,2/20/2019,2019-ISO-6,2.5
211,20,4,2/19/2019,2019-ISO-8,2.5
212,20,5.5,2/20/2019,2019-ISO-7,2.5
213,14,9,2/19/2019,2019-ISO-4,2.8
214,14,7,2/20/2019,2019-ISO-4,2.8
215,14,2,2/20/2019,2019-Vacation-1,2.8
216,14,1,2/21/2019,2019-Cost Center-3,2.8
217,14,8,2/21/2019,2019-ISO-4,2.8
218,2,9,2/21/2019,2019-Cost Center-3,8.8
219,20,5,2/19/2019,2019-ISO-15,2.5
220,20,3.5,2/20/2019,2019-ISO-15,2.5
221,13,4,2/21/2019,2019-ISO-15,3
222,15,8,2/20/2019,2019-ISO-5,3
223,13,3,2/21/2019,2019-ISO-5,3
224,13,1.5,2/21/2019,2019-ISO-11,3
225,15,1,2/20/2019,2019-ISO-13,3
226,13,0.5,2/21/2019,2019-Cost Center-3,3
227,15,7,2/21/2019,2019-ISO-15,3
228,15,1,2/21/2019,2019-Cost Center-3,3
229,15,1,2/21/2019,2019-ISO-10,3
231,19,8,2/21/2019,2019-ISO-6,2.5
232,19,1,2/21/2019,2019-ISO-3,2.5
264,12,7,2/20/2019,2019-ISO-5,3.3
234,20,1,2/21/2019,2019-Cost Center-3,2.5
235,20,8,2/21/2019,2019-ISO-15,2.5
236,10,1.5,2/21/2019,2019-Vacation-1,2.8
237,10,3.5,2/21/2019,2019-Lean-2,2.8
238,10,4,2/21/2019,2019-Lean-4,2.8
239,10,4,2/20/2019,2019-Lean-1,2.8
240,10,3,2/20/2019,2019-Lean-4,2.8
242,10,2,2/20/2019,2019-Lean-2,2.8
243,10,8,2/19/2019,2019-ISO-1,2.8
244,10,1,2/19/2019,2019-Lean-1,2.8
245,11,7,2/17/2019,2019-ISO-3,3
246,11,2,2/17/2019,2019-ISO-8,3
247,11,4,2/18/2019,2019-ISO-2,3
248,11,5,2/18/2019,2019-ISO-3,3
249,11,5,2/19/2019,2019-ISO-2,3
250,11,2.5,2/19/2019,2019-ISO-3,3
251,11,1.5,2/19/2019,2019-ISO-8,3
252,11,5.5,2/20/2019,2019-ISO-2,3
253,11,1,2/20/2019,2019-ISO-3,3
254,11,2.5,2/20/2019,2019-ISO-8,3
255,11,0.5,2/21/2019,2019-ISO-2,3
256,11,1,2/21/2019,2019-ISO-3,3
257,11,0.5,2/21/2019,2019-Cost Center-3,3
258,11,7,2/24/2019,2019-ISO-8,3
259,12,1,2/19/2019,2019-ISO-3,3.3
260,12,1,2/19/2019,2019-ISO-13,3.3
261,12,1,2/19/2019,2019-Cost Center-3,3.3
262,12,1,2/19/2019,2019-ISO-10,3.3
263,12,5,2/19/2019,2019-ISO-7,3.3
265,12,1,2/20/2019,2019-ISO-7,3.3
266,12,1,2/20/2019,2019-ISO-3,3.3
267,12,5.5,2/21/2019,2019-ISO-7,3.3
268,12,1.5,2/21/2019,2019-ISO-10,3.3
271,12,2,2/21/2019,2019-Cost Center-3,3.3
272,13,6,2/18/2019,2019-ISO-14,3
273,1,2,2/21/2019,2019-Lean-4,8.8
274,1,4,2/21/2019,2019-Lean-2,8.8
275,1,3,2/21/2019,2019-Cost Center-3,8.8
276,1,5,2/19/2019,2019-Cost Center-3,8.8
277,1,4,2/19/2019,2019-Lean-2,8.8
278,1,9,2/20/2019,2019-Cost Center-3,8.8
279,1,5,2/23/2019,2019-Lean-2,8.8
280,1,2,2/24/2019,2019-ISO-6,8.8
281,1,2,2/24/2019,2019-Lean-2,8.8
282,1,5,2/24/2019,2019-Cost Center-3,8.8
283,53,9,2/24/2019,2019-Cost Center-3,1.9
284,13,9,2/24/2019,2019-ISO-9,3
294,1,3,2/25/2019,2019-Lean-2,8.8
286,12,9,2/25/2019,2019-ISO-7,3.3
287,14,9,2/24/2019,2019-ISO-4,2.8
288,14,9,2/25/2019,2019-ISO-4,2.8
289,53,9,2/25/2019,2019-Cost Center-3,1.9
290,12,4,2/24/2019,2019-ISO-4,3.3
292,12,2,2/24/2019,2019-Cost Center-3,3.3
293,12,3,2/24/2019,2019-ISO-10,3.3
295,1,2,2/25/2019,2019-Lean-4,8.8
297,1,4,2/25/2019,2019-Cost Center-3,8.8
298,15,4,2/25/2019,2019-ISO-13,3
299,15,3,2/25/2019,2019-ISO-4,3
300,15,1,2/25/2019,2019-ISO-15,3
301,15,1,2/25/2019,2019-ISO-10,3
302,15,1,2/24/2019,2019-ISO-5,3
303,15,2,2/24/2019,2019-ISO-13,3
304,15,1,2/24/2019,2019-ISO-7,3
305,15,5,2/24/2019,2019-ISO-10,3
306,19,9,2/24/2019,2019-ISO-6,2.5
408,19,9,2/25/2019,2019-ISO-8,2.5
308,13,5.25,2/25/2019,2019-ISO-13,3
309,13,0.5,2/25/2019,2019-ISO-9,3
310,13,1.5,2/25/2019,2019-ISO-11,3
311,13,0.5,2/25/2019,2019-Cost Center-3,3
312,13,1.25,2/25/2019,2019-ISO-5,3
313,13,6,2/26/2019,2019-ISO-9,3
394,13,0.5,2/26/2019,2019-ISO-5,3
315,20,2,2/25/2019,2019-ISO-8,2.5
316,20,3,2/25/2019,2019-ISO-10,2.5
317,20,4,2/25/2019,2019-ISO-15,2.5
318,13,2,2/26/2019,2019-ISO-15,3
319,14,8,2/26/2019,2019-ISO-4,2.8
320,14,1,2/26/2019,2019-Cost Center-4,2.8
325,15,7,2/26/2019,2019-ISO-10,3
322,15,1,2/26/2019,2019-ISO-4,3
323,15,1,2/26/2019,2019-ISO-13,3
326,13,0.5,2/26/2019,2019-ISO-9,3
327,20,1.5,2/26/2019,2019-Cost Center-3,2.5
328,20,3.5,2/26/2019,2019-ISO-10,2.5
329,20,4,2/26/2019,2019-ISO-15,2.5
330,53,9,2/26/2019,2019-Cost Center-3,1.9
331,19,9,2/27/2019,2019-ISO-6,2.5
332,13,0.5,2/27/2019,2019-ISO-5,3
347,15,1,2/27/2019,2019-ISO-4,3
393,13,1.5,2/27/2019,2019-Cost Center-3,3
335,13,0.5,2/27/2019,2019-ISO-13,3
336,13,0.5,2/27/2019,2019-ISO-9,3
337,13,0.5,2/27/2019,2019-ISO-13,3
392,13,5.5,2/27/2019,2019-ISO-11,3
339,10,9,2/24/2019,2019-ISO-1,2.8
340,10,9,2/25/2019,2019-ISO-1,2.8
341,10,5,2/26/2019,2019-Lean-4,2.8
342,10,4,2/26/2019,2019-Lean-1,2.8
343,10,3,2/27/2019,2019-Lean-4,2.8
344,10,6,2/27/2019,2019-Lean-2,2.8
345,53,9,2/27/2019,2019-Cost Center-3,1.9
404,19,3,2/28/2019,2019-ISO-3,2.5
348,15,1,2/27/2019,2019-ISO-5,3
349,15,2,2/27/2019,2019-ISO-10,3
350,15,1,2/27/2019,2019-ISO-13,3
351,15,1,2/27/2019,2019-Cost Center-3,3
352,15,3,2/27/2019,2019-Cost Center-2,3
353,14,8,2/27/2019,2019-ISO-4,2.8
354,14,1,2/27/2019,2019-Cost Center-3,2.8
355,14,9,2/28/2019,2019-ISO-4,2.8
356,20,1,2/27/2019,2019-Cost Center-3,2.5
357,20,8,2/27/2019,2019-ISO-15,2.5
358,20,9,2/24/2019,2019-Cost Center-4,2.5
359,53,5,2/28/2019,2019-Cost Center-3,1.9
360,10,8,2/28/2019,2019-Lean-2,2.8
361,10,1,2/28/2019,2019-Vacation-1,2.8
362,20,7,2/28/2019,2019-ISO-15,2.5
363,20,2,2/28/2019,2019-Vacation-1,2.5
364,12,8,2/26/2019,2019-ISO-4,3.3
365,12,1,2/26/2019,2019-Vacation-1,3.3
366,12,1.5,2/27/2019,2019-ISO-10,3.3
367,12,1.5,2/27/2019,2019-ISO-7,3.3
368,12,1,2/27/2019,2019-ISO-4,3.3
369,12,5,2/27/2019,2019-Cost Center-3,3.3
370,12,1,2/28/2019,2019-ISO-4,3.3
371,12,0.5,2/28/2019,2019-ISO-13,3.3
456,2,6.5,3/4/2019,2019-Cost Center-3,8.8
455,2,2.5,3/4/2019,2019-BPR-1,8.8
377,11,2,2/24/2019,2019-Vacation-1,3
378,11,9,2/28/2019,2019-Vacation-1,3
379,11,9,2/25/2019,2019-ISO-2,3
380,11,2,2/26/2019,2019-Vacation-1,3
381,11,1,2/26/2019,2019-ISO-8,3
382,11,4,2/26/2019,2019-ISO-3,3
383,11,2,2/26/2019,2019-ISO-12,3
384,11,5,2/27/2019,2019-ISO-3,3
385,11,2,2/27/2019,2019-Cost Center-3,3
386,11,2,2/27/2019,2019-Cost Center-2,3
387,1,9,2/28/2019,2019-Cost Center-3,8.8
388,1,9,2/27/2019,2019-Cost Center-3,8.8
389,1,9,2/26/2019,2019-Cost Center-3,8.8
390,13,2,2/28/2019,2019-Cost Center-3,3
391,13,7,2/28/2019,2019-Vacation-1,3
395,2,9,2/24/2019,2019-Cost Center-3,8.8
396,2,9,2/25/2019,2019-Cost Center-3,8.8
402,2,7,2/26/2019,2019-Cost Center-3,8.8
398,2,9,2/27/2019,2019-Cost Center-3,8.8
400,2,5,2/28/2019,2019-Cost Center-3,8.8
401,2,4,2/28/2019,2019-Cost Center-7,8.8
403,2,2,2/26/2019,2019-Lean-5,8.8
409,19,2,2/28/2019,2019-ISO-12,2.5
410,19,9,2/26/2019,2019-ISO-6,2.5
411,13,7,3/3/2019,2019-ISO-9,3
554,2,2.5,3/3/2019,2019-BPR-1,8.8
413,2,6.5,3/3/2019,2019-Cost Center-3,8.8
415,20,7,3/3/2019,2019-ISO-8,2.5
416,20,1,3/3/2019,2019-ISO-7,2.5
417,20,1,3/3/2019,2019-ISO-10,2.5
418,13,1,3/3/2019,2019-ISO-9,3
419,13,0.5,3/3/2019,2019-Cost Center-3,3
420,13,0.5,3/3/2019,2019-ISO-15,3
421,1,4,3/3/2019,2019-Lean-2,8.8
422,1,2,3/3/2019,2019-Lean-4,8.8
423,1,3,3/3/2019,2019-Cost Center-3,8.8
457,2,1,3/5/2019,2019-BPR-1,8.8
425,15,1,3/3/2019,2019-ISO-5,3
426,15,1,3/3/2019,2019-ISO-10,3
427,15,7,3/3/2019,2019-ISO-13,3
428,53,9,3/3/2019,2019-Cost Center-3,1.9
429,19,8,3/3/2019,2019-BPR-1,2.5
430,19,0.5,3/3/2019,2019-ISO-3,2.5
431,19,0.5,3/3/2019,2019-ISO-12,2.5
433,13,3.5,3/4/2019,2019-ISO-9,3
434,13,5.5,3/4/2019,2019-ISO-13,3
